"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","69","93","53","22","43","29","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"04:00","80","109","53","22","43","30","Sedang","Tidak Sehat","Sedang","Baik","Baik","Baik","pm25","Tidak Sehat"
"05:00","95","111","53","23","43","30","Sedang","Tidak Sehat","Sedang","Baik","Baik","Baik","pm25","Tidak Sehat"
"06:00","110","113","53","22","43","30","Tidak Sehat","Tidak Sehat","Sedang","Baik","Baik","Baik","pm25","Tidak Sehat"
"07:00","125","113","53","22","43","30","Tidak Sehat","Tidak Sehat","Sedang","Baik","Baik","Baik","pm10","Tidak Sehat"
"08:00","140","113","53","22","43","30","Tidak Sehat","Tidak Sehat","Sedang","Baik","Baik","Baik","pm10","Tidak Sehat"
"09:00","155","113","53","22","43","31","Tidak Sehat","Tidak Sehat","Sedang","Baik","Baik","Baik","pm10","Tidak Sehat"
"10:00","170","113","54","22","43","31","Tidak Sehat","Tidak Sehat","Sedang","Baik","Baik","Baik","pm10","Tidak Sehat"
"11:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"13:00","188","120","54","23","45","31","Tidak Sehat","Tidak Sehat","Sedang","Baik","Baik","Baik","pm10","Tidak Sehat"
"14:00","188","121","54","23","45","32","Tidak Sehat","Tidak Sehat","Sedang","Baik","Baik","Baik","pm10","Tidak Sehat"
"15:00","189","123","54","23","47","33","Tidak Sehat","Tidak Sehat","Sedang","Baik","Baik","Baik","pm10","Tidak Sehat"
"16:00","189","124","54","23","46","33","Tidak Sehat","Tidak Sehat","Sedang","Baik","Baik","Baik","pm10","Tidak Sehat"
"17:00","190","124","54","23","46","33","Tidak Sehat","Tidak Sehat","Sedang","Baik","Baik","Baik","pm10","Tidak Sehat"
"18:00","191","125","54","23","47","31","Tidak Sehat","Tidak Sehat","Sedang","Baik","Baik","Baik","pm10","Tidak Sehat"
"19:00","191","126","54","23","48","31","Tidak Sehat","Tidak Sehat","Sedang","Baik","Baik","Baik","pm10","Tidak Sehat"
"20:00","192","127","54","24","49","31","Tidak Sehat","Tidak Sehat","Sedang","Baik","Baik","Baik","pm10","Tidak Sehat"
"21:00","195","129","54","24","50","30","Tidak Sehat","Tidak Sehat","Sedang","Baik","Sedang","Baik","pm10","Tidak Sehat"
"22:00","193","130","54","25","51","30","Tidak Sehat","Tidak Sehat","Sedang","Baik","Sedang","Baik","pm10","Tidak Sehat"
"23:00","193","131","54","25","50","30","Tidak Sehat","Tidak Sehat","Sedang","Baik","Sedang","Baik","pm10","Tidak Sehat"
